,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
22199,1,0,4.4,359,30,30,773,400.0,5047
22207,1,1,4.2,1033,28,21,614,1100.0,3400
22208,1,1,4.1,459,28,20,695,700.0,1686
22210,1,1,4.1,446,30,60,692,1200.0,3865
22212,1,1,4.1,590,28,21,688,1200.0,3043
22223,1,0,3.5,80,30,20,72,750.0,1433
22226,1,0,3.9,153,28,41,427,400.0,1648
22227,1,0,4.2,249,0,32,210,500.0,380
22234,1,0,4.1,232,28,20,1296,1000.0,4426
22238,1,1,4.3,1907,30,13,423,800.0,4691
22239,1,0,4.4,658,30,12,217,600.0,4798
22240,1,0,4.0,89,30,62,1551,200.0,2824
22242,1,0,3.9,74,30,20,129,800.0,3328
22243,1,0,4.0,1781,30,62,1444,200.0,46
22246,1,0,4.1,956,28,20,1613,600.0,146
22253,1,0,4.2,265,30,13,389,700.0,211
22259,1,0,3.6,323,3,41,1476,800.0,5047
22260,1,0,4.1,30,30,9,231,100.0,4836
22261,1,0,4.0,77,28,62,1023,150.0,3474
22265,1,0,2.7,85,28,13,496,500.0,3093
22266,1,0,3.7,72,30,20,1209,450.0,2371
22267,1,0,4.0,129,30,30,767,300.0,760
22269,1,0,3.8,614,0,13,472,600.0,3453
22274,1,0,3.9,247,30,13,406,400.0,3195
22276,1,0,3.9,914,28,4,1266,1000.0,1452
22277,1,0,3.7,55,28,62,1620,200.0,3803
22278,1,0,4.0,137,30,62,1571,350.0,4049
22279,1,0,3.8,77,46,13,401,600.0,924
22280,1,0,3.8,145,1,13,533,700.0,3759
22281,1,0,3.9,410,28,20,1196,500.0,3666
22282,1,0,3.9,181,28,30,767,400.0,1592
22285,1,0,3.8,171,28,62,1156,250.0,3521
22289,1,0,3.8,89,28,30,957,400.0,539
22291,0,1,4.1,1445,28,13,380,800.0,5047
22293,1,0,3.7,43,28,62,1196,500.0,4309
22298,1,0,2.9,42,0,62,1432,250.0,4180
22299,1,1,4.1,973,30,54,1313,1500.0,3679
22301,1,0,3.9,70,1,30,846,400.0,508
22302,1,1,4.1,294,28,20,938,500.0,3243
22310,1,0,3.3,396,30,62,1196,300.0,3204
22311,1,0,3.8,100,0,13,488,700.0,2517
22314,1,0,4.1,464,0,13,344,500.0,4572
22316,1,1,4.0,1016,28,58,882,1300.0,1247
22321,1,0,3.9,203,0,62,1451,300.0,2790
22324,1,0,4.3,134,28,29,181,300.0,4149
22326,1,0,3.9,339,28,62,256,300.0,571
22328,1,0,4.1,205,30,30,956,300.0,4567
22331,1,0,3.6,192,0,29,917,450.0,3242
22333,1,0,3.0,57,28,20,604,650.0,1407
22338,1,1,3.9,681,3,20,1274,800.0,4507
22342,1,0,3.0,57,30,62,1329,400.0,3853
22343,1,1,2.9,90,3,20,1449,800.0,2566
22351,1,0,3.9,258,0,20,50,500.0,1109
22355,1,0,4.5,4432,30,20,286,600.0,653
22356,0,1,4.1,1195,28,26,979,1200.0,5047
22357,1,0,4.2,465,0,62,1179,300.0,1717
22362,1,0,4.1,130,30,13,473,650.0,4537
22365,1,0,3.6,65,7,20,591,400.0,4428
22367,1,0,4.0,187,0,62,43,400.0,5047
22368,1,0,4.1,138,28,20,1485,800.0,25
22369,1,0,4.1,601,0,62,1477,700.0,5047
22372,1,1,4.1,1405,28,26,1296,1100.0,2159
22374,1,0,4.3,325,30,20,1547,400.0,5047
22381,1,1,3.8,72,28,62,1496,400.0,5047
22392,1,0,2.7,50,3,65,549,650.0,3395
22393,1,1,4.1,553,30,20,991,900.0,3705
22395,1,1,4.0,350,1,20,1519,1200.0,4148
22396,1,0,3.8,90,1,13,332,650.0,518
22397,1,0,3.9,191,0,62,256,300.0,1557
22399,1,0,2.6,208,28,20,602,650.0,86
22402,1,1,3.6,164,46,20,915,800.0,5047
22403,1,0,3.2,146,3,62,1218,350.0,2443
22405,1,0,3.9,92,28,62,1602,300.0,5047
22406,1,0,3.9,126,30,62,1589,400.0,84
22407,1,1,4.0,790,28,20,696,1300.0,3110
22408,1,0,3.5,56,30,30,958,400.0,761
22410,0,0,4.3,357,28,20,1416,1200.0,5047
22414,1,0,4.1,295,0,20,250,700.0,5047
22417,0,0,3.8,117,28,62,1209,350.0,5047
22418,1,0,3.8,243,30,20,1089,650.0,4593
22419,1,1,4.2,1432,28,20,64,800.0,1296
22421,1,0,3.8,95,3,41,674,1100.0,5
22424,1,0,3.6,798,3,20,286,550.0,4204
22426,1,0,4.6,233,30,13,359,400.0,5047
22427,1,0,3.9,1189,0,62,1196,500.0,3582
22428,1,0,4.0,310,30,13,388,750.0,3794
22429,1,0,4.1,166,30,62,256,400.0,583
22432,1,0,3.8,273,0,20,1310,900.0,2290
22433,1,0,3.7,51,3,62,1156,300.0,1210
22434,1,0,3.7,133,30,20,607,700.0,3956
22435,1,0,2.3,298,7,62,286,450.0,1180
22438,0,0,3.1,97,28,20,517,650.0,5047
22439,1,0,3.2,136,3,20,1209,500.0,5047
22441,1,0,3.6,34,28,30,956,300.0,5047
22444,0,1,4.2 ,1242,28,20,1490,1200.0,5047
22445,0,0,3.9 ,61,28,72,1052,400.0,5047
22448,1,0,3.8 ,129,0,62,1196,400.0,5047
22450,1,0,3.8 ,42,1,62,1589,300.0,5047
22454,1,0,4.0 ,516,28,19,460,1000.0,5047
22456,0,0,3.8 ,72,28,0,181,200.0,5047
22460,0,0,4.3,251,28,30,956,200.0,5047
22461,1,0,4.1,600,3,62,1156,400.0,1567
22467,1,0,4.0,869,0,29,250,500.0,3523
22469,1,0,4.0,113,28,62,1649,200.0,5047
22470,1,1,3.9,728,28,13,416,800.0,2483
22472,1,0,3.9,891,1,20,1434,750.0,5047
22473,1,0,3.5,177,0,62,203,500.0,2066
22478,1,1,3.9,564,3,20,1156,900.0,5047
22482,1,0,3.9,91,30,13,439,300.0,4745
22484,1,0,3.7,127,28,13,467,700.0,513
22486,1,0,3.0,74,36,20,68,700.0,5047
22487,1,0,3.7,218,28,20,1423,500.0,5047
22488,1,0,2.9,154,3,62,197,600.0,5047
22492,1,0,3.6,71,0,62,1248,350.0,1184
22494,1,0,4.1,210,30,32,214,150.0,3216
22495,0,1,4.3,1079,28,21,50,800.0,5047
22496,1,0,3.6,142,30,20,1554,750.0,5047
22498,0,0,3.8,82,28,47,1472,1000.0,5047
22499,1,0,4.1,740,28,29,565,500.0,5047
22502,1,1,4.2,239,28,22,349,600.0,5047
22503,1,0,4.3,2420,28,20,1156,800.0,5047
22507,1,0,3.8,86,3,29,38,600.0,5047
22508,1,1,3.8,362,30,20,291,600.0,5047
22509,1,1,3.8,256,3,20,73,800.0,5047
22513,0,0,2.9,177,30,20,1211,700.0,5047
22514,1,0,3.9,202,3,62,1196,250.0,5047
22515,1,0,4.2,421,3,20,604,700.0,5047
22517,1,0,3.9,84,30,69,1121,400.0,5047
22519,1,0,4.0,539,3,20,610,800.0,5047
22520,1,0,3.8,106,28,29,306,350.0,5047
22523,0,0,3.8,919,28,20,1156,600.0,5047
22527,1,1,4.3,885,30,20,558,1700.0,5047
22528,1,0,4.0,109,0,62,1156,300.0,5047
22529,1,0,3.9,130,30,62,1181,400.0,5047
22533,1,0,3.7,109,3,62,1084,600.0,5047
22534,1,0,4.0,233,30,62,1561,400.0,5047
22539,0,1,4.1,468,28,20,1064,700.0,5047
22540,1,0,4.0,827,0,20,1490,500.0,5047
22543,0,0,3.9,115,28,62,1547,200.0,5047
22548,1,0,4.1,589,28,20,558,700.0,5047
22549,1,0,4.0,118,28,20,604,600.0,5047
22553,0,0,3.2,63,28,3,191,600.0,5047
22555,1,0,3.9,68,0,20,1165,1000.0,3741
22556,1,0,3.8,217,28,62,1156,450.0,5047
22560,0,0,3.5,134,28,20,1196,650.0,5047
22564,1,0,3.8,232,30,20,68,600.0,5047
22565,1,1,3.8,763,28,20,1156,600.0,5047
22566,1,0,4.0,181,28,20,1214,550.0,5047
22568,0,0,3.7,203,28,20,1314,900.0,5047
22569,1,0,3.9,315,30,62,1639,300.0,643
22571,0,0,3.1,138,28,62,868,300.0,5047
22580,0,0,4.0,194,28,20,1555,500.0,5047
22581,1,0,3.7,195,0,62,1156,400.0,5047
22582,1,1,3.8,584,30,20,1381,1200.0,5047
22586,0,0,2.3,176,28,20,1156,450.0,5047
22591,1,0,3.0,61,0,13,332,650.0,820
22596,1,1,3.5,432,30,20,1156,800.0,5047
22614,0,0,3.7,48,28,20,1335,800.0,5047
22655,1,0,4.0,200,28,62,1087,400.0,5047
22658,1,0,3.8,117,0,20,1181,600.0,5047
22663,1,1,4.1,847,28,21,1546,1100.0,4831
22672,0,0,3.5,65,28,20,1420,750.0,5047
22673,0,0,2.7,39,28,20,1209,500.0,5047
22675,0,0,3.0,55,28,20,65,800.0,5047
22681,0,0,2.9,39,28,72,857,500.0,5047
22696,1,0,3.8,146,28,20,521,600.0,5047
22698,1,0,3.7,117,28,62,1156,150.0,5047
22699,1,0,3.8,416,30,20,77,700.0,5047
22702,1,0,4.1,90,30,62,1547,100.0,3462
22704,1,0,3.9,162,28,29,1209,500.0,5047
22709,1,1,4.0,870,30,20,1296,900.0,5047
22711,1,1,3.9,143,30,20,1093,1000.0,5047
22722,1,0,3.8,282,30,20,283,800.0,5047
22723,1,0,3.3,97,46,62,1156,400.0,5047
22727,1,1,4.3,1247,30,20,1343,1000.0,5047
22729,1,1,3.9,1340,3,46,7,1700.0,5047
22735,1,1,4.1,1027,3,20,1156,1000.0,5047
22736,1,1,3.8,561,28,20,1156,800.0,5047
22737,1,0,3.7,115,0,20,565,550.0,5047
22738,1,0,2.8,335,3,20,1196,500.0,5047
22739,1,0,2.6,170,3,20,978,600.0,5047
22740,1,1,4.1,1322,28,20,1222,1200.0,5047
22741,0,0,3.6,135,30,20,1079,600.0,5047
22742,1,0,3.1,140,0,20,1182,600.0,5047
22745,0,0,3.7,246,28,20,286,450.0,5047
22752,1,0,3.5,283,0,62,206,350.0,5047
22753,0,0,4.2,1292,3,20,43,800.0,5047
22755,0,0,3.9,205,0,20,283,550.0,5047
22756,0,0,3.9,124,3,13,446,500.0,5047
22760,0,0,2.8,80,3,20,46,650.0,5047
22765,0,0,3.4,66,3,20,590,800.0,5047
22774,0,0,3.1,53,75,29,856,450.0,5047
22778,0,1,3.8,176,30,20,1157,1350.0,5047
22782,1,1,4.0,347,28,20,1295,1000.0,5047
22785,0,0,3.3,67,3,20,1196,600.0,5047
22786,1,0,3.8,254,0,20,521,550.0,5047
22787,1,0,3.7,288,46,62,1196,500.0,5047
22788,1,0,3.7,46,0,20,1196,600.0,5047
22794,1,1,4.1,1080,30,20,1196,1000.0,5047
22796,1,0,3.7,66,0,62,1563,300.0,5047
22801,1,0,3.1,68,30,62,1140,550.0,5047
22802,1,0,3.6,43,28,20,583,600.0,5047
22807,1,0,3.4,185,3,20,1598,450.0,5047
22812,1,1,3.7,36,30,20,586,650.0,5047
22816,1,0,4.1,427,3,72,1392,500.0,5047
22817,1,0,4.3,476,0,72,1465,600.0,4164
22818,0,1,3.8,151,30,46,1157,1350.0,5047
22823,1,0,3.8,75,30,62,1046,300.0,725
22824,1,0,4.0,101,3,20,1079,500.0,5047
22832,0,0,4.3,425,3,30,951,200.0,5047
22833,0,1,3.7,570,30,20,701,800.0,5047
22834,1,0,3.7,136,0,20,1196,500.0,1226
22835,0,0,4.2,127,30,29,769,400.0,5047
22837,0,0,4.1,163,30,62,873,200.0,5047
22845,0,0,3.7,29,0,20,1196,500.0,5047
22847,0,0,2.9,107,3,20,1196,450.0,5047
22848,0,0,4.0,147,30,30,767,400.0,5047
22853,0,0,3.9,144,46,13,377,550.0,5047
22880,0,0,3.7,118,0,30,956,300.0,5047
22885,0,0,2.2,90,3,20,1196,750.0,5047
22928,0,0,3.7,93,30,20,1196,900.0,5047
22934,0,0,2.3,291,3,20,1597,250.0,5047
22940,0,0,3.9,194,28,20,1589,400.0,5047
22963,1,0,3.8,109,30,20,1196,500.0,5047
22965,1,0,3.8,187,28,13,339,500.0,2287
22983,1,1,4.4,2496,3,57,1343,900.0,5047
22986,1,1,4.1,459,28,20,695,700.0,1686
22987,1,0,4.1,53,28,13,502,600.0,4485
22989,1,0,4.1,232,28,0,181,500.0,1587
22990,1,0,4.3,134,28,29,181,300.0,4149
22991,1,0,4.0,183,28,69,1121,400.0,4210
22992,1,0,4.2,170,28,13,361,600.0,3084
22994,1,0,4.1,240,28,30,953,500.0,2293
22995,1,0,4.2,213,28,30,959,400.0,608
22996,1,0,3.9,240,28,30,789,500.0,3735
22997,1,0,3.9,181,28,30,767,400.0,1592
22998,0,0,4.1,522,28,13,404,550.0,5047
22999,0,0,2.9,56,28,70,1121,200.0,5047
23000,0,0,3.8,73,28,0,181,200.0,5047
23002,0,0,4.3,251,28,30,956,200.0,5047
23003,0,0,3.9,86,28,30,949,250.0,5047
23005,1,1,4.2,239,28,22,349,600.0,778
23007,0,0,4.0,321,28,30,773,500.0,5047
23013,1,0,3.8,51,28,29,181,500.0,1616
23014,1,0,3.8,89,28,30,957,400.0,539
23016,0,0,3.2,63,28,3,191,600.0,5047
23017,1,0,3.9,42,28,30,1121,250.0,2862
23022,0,0,2.9,231,28,30,793,800.0,5047
23024,1,0,3.9,45,28,11,778,400.0,3953
23025,1,0,3.9,47,28,69,1121,100.0,355
23036,1,0,4.1,91,28,0,181,500.0,3972
23051,1,0,3.6,34,28,30,956,300.0,5047
23054,1,0,3.9,153,28,41,427,400.0,1648
23057,0,0,4.3,425,3,30,951,200.0,5047
23058,1,0,4.0,41,3,41,442,400.0,622
23059,1,0,3.9,101,3,30,956,400.0,363
23085,0,0,4.5,208,30,30,956,400.0,5047
23086,1,0,3.9,74,30,20,129,800.0,3327
23087,1,0,4.4,825,30,30,956,400.0,4564
23088,1,0,4.2,249,0,32,210,500.0,380
23089,1,0,4.4,359,30,30,773,400.0,1757
23090,1,1,3.8,362,30,20,291,600.0,4839
23091,1,0,4.1,193,30,30,789,300.0,2297
23092,0,0,4.2,127,30,29,769,400.0,5047
23093,0,0,4.1,108,30,13,427,700.0,5047
23094,0,0,4.0,160,0,68,1640,150.0,5047
23095,1,0,4.0,71,0,30,773,300.0,507
23097,1,0,4.0,204,0,14,350,500.0,2408
23099,1,0,4.2,450,30,13,362,400.0,5047
23103,1,0,4.0,129,30,30,767,300.0,760
23106,0,0,4.1,201,30,62,1628,250.0,5047
23108,0,0,3.9,41,0,3,195,200.0,5047
23112,0,0,4.0,147,30,30,767,400.0,5047
23114,1,0,3.5,221,0,70,1119,400.0,3709
23128,0,0,3.7,118,0,30,956,300.0,5047
23140,1,0,4.0,130,0,30,949,230.0,3239
23141,1,0,4.1,205,30,30,956,300.0,4567
23142,1,1,4.1,590,28,21,688,1200.0,3043
23143,0,0,4.3,680,28,52,685,1500.0,5047
23146,0,0,4.5,2800,28,21,1170,1200.0,5047
23147,0,1,4.7,3855,28,20,1325,1600.0,5047
23148,0,0,4.3,357,28,20,1416,1200.0,5047
23149,1,1,4.3,4321,28,52,625,1600.0,2352
23150,0,1,4.1,2461,28,20,1493,1000.0,5047
23151,0,1,4.3,1209,28,5,803,1500.0,5047
23152,0,1,4.6,324,28,20,1436,1300.0,5047
23153,0,1,4.2,1216,28,20,1490,1200.0,5047
23154,1,1,4.2,2206,28,60,10,1200.0,4416
23155,0,1,4.1,1239,28,20,1423,800.0,5047
23156,0,1,3.9,1779,28,4,899,1300.0,5047
23158,1,0,4.3,2420,28,20,1156,800.0,283
23159,1,1,4.1,1547,28,20,165,1000.0,2488
23160,1,0,4.1,138,28,20,1485,800.0,25
23161,0,1,4.0,720,28,60,890,1500.0,5047
23162,1,0,4.0,1986,28,20,294,800.0,4053
23163,1,0,4.1,956,28,20,1613,600.0,147
23165,1,0,4.2,380,28,20,266,750.0,650
23166,0,1,4.1,1195,28,26,979,1200.0,5047
23167,1,1,4.1,459,28,20,695,700.0,1686
23168,0,1,4.3,1079,28,21,50,800.0,5047
23169,1,1,4.2,1033,28,21,614,1100.0,3401
23170,1,1,3.9,887,28,20,1156,900.0,5030
23171,0,1,4.1,1445,28,13,380,800.0,5047
23173,1,0,4.0,181,28,20,1214,550.0,3675
23174,1,1,4.0,1016,28,58,882,1300.0,1247
23176,1,1,4.1,1405,28,26,1296,1100.0,2159
23177,0,0,3.9,764,28,14,358,600.0,5047
23178,1,0,4.1,232,28,20,1296,1000.0,4426
23180,1,1,4.2,1432,28,20,64,800.0,1296
23181,1,1,4.1,1322,28,20,1222,1200.0,4427
23182,1,1,4.0,790,28,20,696,1300.0,3110
23183,1,1,4.1,847,28,21,1546,1100.0,5047
23184,0,0,3.8,919,28,20,1156,600.0,5047
23185,1,0,4.0,510,28,19,460,1000.0,2469
23186,1,1,3.8,763,28,20,1156,600.0,2769
23187,1,0,3.9,34,28,20,1091,750.0,184
23188,1,1,4.0,347,28,20,1295,1000.0,5047
23189,1,0,3.9,914,28,4,1266,1000.0,1452
23190,1,1,3.8,561,28,20,1156,800.0,3640
23191,1,1,4.1,294,28,20,938,500.0,5047
23192,1,0,3.9,349,28,20,609,600.0,679
23193,1,0,4.0,1310,28,20,625,750.0,4276
23194,1,0,4.1,589,28,20,558,700.0,4763
23195,0,1,4.1,468,28,20,1064,700.0,5047
23196,1,0,4.0,118,28,20,604,600.0,3059
23197,0,0,4.0,130,28,62,1589,300.0,5047
23198,1,0,4.0,200,28,62,1087,400.0,5047
23199,0,0,4.2,386,28,13,427,700.0,5047
23200,1,0,4.1,181,28,20,604,700.0,4765
23201,1,0,3.7,218,28,20,1423,500.0,3668
23202,0,0,3.8,117,28,62,1209,350.0,5047
23203,0,0,3.8,59,28,20,1423,500.0,5047
23204,0,0,3.7,536,28,20,1304,950.0,5047
23205,0,0,3.8,234,28,62,1250,400.0,5047
23206,1,0,4.0,180,28,20,1589,450.0,3617
23208,1,0,3.9,85,28,62,1490,300.0,2907
23209,1,1,3.9,728,28,13,416,800.0,2483
23210,0,0,3.1,97,28,20,517,650.0,5047
23211,0,0,3.7,246,28,20,286,450.0,5047
23213,1,0,3.7,125,28,12,217,400.0,1505
23214,1,0,3.7,666,28,20,201,650.0,305
23216,0,0,3.7,203,28,20,1314,900.0,5047
23217,0,0,4.1,522,28,13,404,550.0,5047
23218,0,0,2.9,51,28,20,1451,600.0,5047
23221,0,0,4.0,99,28,20,604,850.0,5047
23224,1,1,4.4,4410,28,22,1468,600.0,3738
23225,0,0,4.0,194,28,20,1555,500.0,5047
23226,1,0,3.6,519,28,20,1589,400.0,124
23227,0,0,3.8,179,28,62,1366,400.0,5047
23228,0,1,3.9,165,28,20,1592,1000.0,5047
23229,1,0,3.7,132,28,13,504,400.0,5047
23230,1,1,4.2,239,28,22,349,600.0,778
23231,0,0,3.4,97,28,21,1559,1100.0,5047
23232,1,0,2.6,208,28,20,602,650.0,85
23233,0,0,3.8,82,28,47,1472,1000.0,5047
23236,1,0,3.9,410,28,20,1196,500.0,3666
23237,1,0,3.8,46,28,13,318,450.0,4883
23241,0,0,3.3,177,28,20,1222,950.0,5047
23246,1,0,3.8,146,28,20,521,600.0,4770
23248,0,0,3.5,134,28,20,1196,650.0,5047
23250,0,0,4.0,88,28,20,1235,500.0,5047
23252,1,0,3.1,320,28,20,1354,700.0,1427
23256,0,0,3.4,48,28,13,436,550.0,5047
23260,1,0,4.1,2402,28,20,1402,750.0,2117
23261,0,0,2.3,176,28,20,1156,450.0,5047
23264,0,0,3.9,194,28,20,1589,400.0,5047
23266,1,0,3.0,64,28,20,1554,750.0,2984
23267,0,0,3.5,65,28,20,1420,750.0,5047
23268,0,0,2.7,39,28,20,1209,500.0,5047
23273,0,0,3.0,55,28,20,65,800.0,5047
23280,1,0,3.0,57,28,20,604,650.0,1407
23282,0,0,3.7,48,28,20,1335,800.0,5047
23295,1,0,3.6,43,28,20,583,600.0,5047
23297,1,0,3.7,127,28,13,467,700.0,513
23299,1,0,3.9,185,28,20,1474,750.0,4186
23301,0,0,3.0,54,28,62,1597,300.0,5047
23302,1,0,2.7,85,28,13,496,500.0,3093
23303,1,0,3.8,187,28,13,339,500.0,5047
23304,1,0,4.0,260,28,62,1156,300.0,5047
23306,0,0,4.1,873,28,62,1547,300.0,5047
23307,0,0,4.1,98,28,62,1112,400.0,5047
23308,1,1,4.0,205,28,62,1476,700.0,2228
23309,1,0,3.6,49,28,62,311,300.0,821
23310,0,0,3.9,440,28,62,322,400.0,5047
23311,1,0,4.3,539,28,62,617,300.0,4696
23312,1,0,3.9,37,28,62,753,400.0,781
23317,1,0,4.1,140,28,62,1547,100.0,5047
23318,1,0,3.8,217,28,62,1156,450.0,1903
23319,1,0,3.9,313,28,62,1190,500.0,1027
23320,1,0,3.8,184,28,62,322,500.0,5047
23322,1,0,4.0,319,28,62,1474,400.0,3141
23328,1,0,4.1,206,28,65,370,400.0,2520
23332,1,0,3.7,43,28,62,1196,500.0,4309
23334,1,0,4.0,113,28,62,1649,200.0,4244
23335,1,0,3.7,81,28,62,826,500.0,3023
23338,1,0,3.8,46,28,62,1465,450.0,3109
23343,0,0,3.8,40,28,62,1547,100.0,5047
23344,1,0,3.7,132,28,62,1177,250.0,3932
23347,1,0,3.0,354,28,62,1285,400.0,1910
23348,1,0,3.8,171,28,62,1156,250.0,3521
23354,1,0,3.7,171,28,62,862,200.0,3571
23356,1,0,2.5,321,28,62,1241,400.0,3391
23357,1,0,4.0,273,28,62,1507,600.0,5047
23362,1,0,3.9,92,28,62,1602,300.0,5047
23363,0,0,4.2,378,28,62,1589,300.0,5047
23366,0,0,3.9,115,28,62,1547,200.0,5047
23368,1,0,3.9,386,28,62,1476,600.0,3488
23369,1,0,3.3,212,28,62,236,350.0,1964
23370,1,0,3.7,55,28,62,1620,200.0,3805
23371,1,0,3.7,117,28,62,1156,150.0,5047
23374,0,0,3.1,138,28,62,868,300.0,5047
23375,0,0,2.9,231,28,30,793,800.0,5047
23380,0,0,3.6,140,28,62,877,300.0,5047
23382,0,0,3.4,25,28,62,1628,200.0,5047
23449,1,0,3.9,153,28,41,427,400.0,1648
23454,1,0,3.9,62,28,62,324,300.0,1092
23456,1,1,4.4,2496,3,57,1343,900.0,5047
23457,0,1,4.4,2075,3,54,733,1200.0,5047
23458,0,1,4.5,787,3,20,965,1500.0,5047
23459,1,1,4.4,2241,3,21,744,1200.0,4237
23460,0,1,4.3,966,3,21,1417,1000.0,5047
23461,0,0,4.2,1292,3,20,43,800.0,5047
23462,1,1,4.2,1976,3,20,87,1000.0,461
23463,1,0,4.6,409,3,20,0,1000.0,3052
23465,1,0,3.6,798,3,20,286,550.0,4205
23467,1,0,4.0,539,3,20,610,800.0,4769
23469,1,1,4.1,1027,3,20,1156,1000.0,3297
23470,1,1,4.0,743,3,20,296,800.0,1301
23471,1,0,3.7,111,3,20,43,800.0,2557
23474,0,0,3.9,124,3,13,446,500.0,5047
23475,1,0,3.9,50,3,13,332,600.0,4517
23476,1,0,2.7,426,3,20,1599,400.0,5047
23477,1,0,4.0,101,3,20,1079,500.0,5047
23478,1,0,3.2,136,3,20,1209,500.0,588
23480,1,1,3.5,551,3,20,1236,600.0,5047
23481,1,0,3.1 ,122,3,62,609,500.0,5047
23484,0,0,2.9,107,3,20,1196,450.0,5047
23485,0,1,2.9,200,3,20,602,1000.0,5047
23486,0,0,3.3,67,3,20,1196,600.0,5047
23487,0,0,2.8,80,3,20,46,650.0,5047
23491,1,0,2.6,170,3,20,978,600.0,2623
23492,0,0,3.4,66,3,20,590,800.0,5047
23495,1,1,2.9,90,3,20,1449,800.0,2565
23497,0,0,2.2,90,3,20,1196,750.0,5047
23506,0,0,2.3,291,3,20,1597,250.0,5047
23511,1,0,3.9,190,3,30,959,400.0,610
23515,0,0,3.3,50,3,41,521,400.0,5047
23516,1,0,3.9,202,3,62,1196,250.0,281
23521,1,0,3.2,146,3,62,1218,350.0,2443
23522,1,0,4.0,911,3,62,1110,600.0,5047
23525,1,0,4.1,600,3,62,1156,400.0,1567
23528,1,0,3.2,188,3,62,323,600.0,4929
23538,1,0,2.9,154,3,62,197,600.0,5047
23540,1,0,3.8,95,3,41,674,1100.0,5
23541,0,0,3.5,56,3,62,1587,400.0,5047
23555,1,0,3.7,51,3,62,1156,300.0,5047
23574,1,0,2.4,158,3,62,1196,300.0,566
23582,1,0,3.1,178,3,62,42,250.0,5047
23587,0,1,4.9,6404,0,20,813,1600.0,5047
23588,0,0,4.3,2486,30,20,1552,450.0,5047
23589,0,1,4.6,538,30,20,1261,1100.0,5047
23590,1,1,4.3,1265,30,22,922,800.0,5047
23591,1,1,4.3,1247,30,20,1343,1000.0,5047
23592,0,1,4.4,1154,0,21,1369,1100.0,5047
23593,0,1,4.3,1246,30,21,1480,1000.0,5047
23594,1,0,3.9,74,30,20,129,800.0,3328
23596,1,1,4.2,177,30,20,924,800.0,5047
23597,0,0,4.2,713,30,13,332,500.0,5047
23598,1,0,4.4,1972,30,20,238,800.0,2137
23599,1,0,3.9,684,30,20,1389,650.0,5047
23600,1,1,4.1,1080,30,20,1196,1000.0,5047
23601,1,1,4.3,885,30,20,558,1700.0,5047
23603,1,0,4.4,181,30,9,231,250.0,5047
23604,1,1,4.1,367,30,20,1665,1200.0,5047
23605,0,0,3.9,205,0,20,283,550.0,5047
23606,0,1,3.7,570,30,20,701,800.0,5047
23607,0,0,4.1,710,30,13,445,850.0,5047
23608,1,1,3.8,362,30,20,291,600.0,5047
23609,1,0,3.8,367,0,20,1156,600.0,5047
23610,1,0,4.0,137,30,62,1571,350.0,5047
23611,1,0,3.7,136,0,20,1196,500.0,5047
23613,1,0,4.1,464,0,13,344,500.0,5047
23614,1,0,3.8,210,46,20,1235,600.0,5047
23615,1,1,4.1,553,30,20,991,900.0,5047
23616,1,0,3.9,247,0,62,202,400.0,5047
23617,1,0,4.0,958,30,62,1356,500.0,5047
23618,1,1,4.1,176,30,20,1591,500.0,5047
23619,1,0,4.1,130,30,13,473,650.0,5047
23620,1,0,3.8,232,30,20,68,600.0,5047
23621,1,0,4.1,295,0,20,250,700.0,5047
23624,1,0,3.7,115,0,20,565,550.0,5047
23626,1,0,4.1,166,30,62,256,400.0,5047
23627,0,1,3.8,151,30,46,1157,1350.0,5047
23628,1,1,3.8,584,30,20,1381,1200.0,5047
23629,1,0,4.0,808,46,20,1209,500.0,4706
23630,1,0,4.2,465,0,62,1179,300.0,5047
23632,1,0,4.1,381,0,62,84,250.0,4065
23634,1,0,3.5,80,30,20,72,750.0,1433
23635,1,0,3.9,91,30,13,439,300.0,5047
23636,1,0,4.2,450,30,13,362,400.0,5047
23637,1,0,4.0,310,30,13,388,750.0,3794
23638,1,1,3.7,205,30,57,536,1000.0,2207
23640,1,0,4.1,303,30,62,1569,200.0,5047
23641,0,0,4.2,424,30,62,1547,100.0,5047
23643,1,0,3.8,42,1,62,1589,300.0,5047
23646,0,0,3.8,46,30,13,332,400.0,5047
23648,1,0,3.7,158,30,20,251,700.0,5047
23649,1,0,4.0,108,30,62,329,500.0,5047
23651,0,0,4.1,163,30,62,873,200.0,5047
23652,1,0,3.9,315,30,62,1639,300.0,5047
23653,1,0,3.9,126,30,62,1589,400.0,5047
23655,0,0,4.0,160,0,68,1640,150.0,5047
23657,1,0,3.9,212,30,20,920,500.0,5047
23659,1,0,3.7,476,0,62,1235,450.0,5047
23660,1,0,3.7,133,30,20,607,700.0,5047
23662,1,0,4.0,199,0,62,1156,300.0,5047
23665,1,0,4.0,109,0,62,1156,300.0,5047
23668,0,0,2.9,84,0,20,1185,500.0,5047
23669,1,0,3.1,140,0,20,1182,600.0,5047
23673,0,0,3.8,37,30,62,1547,200.0,5047
23680,1,0,3.8,184,0,62,858,400.0,5047
23684,1,0,3.7,288,46,62,1196,500.0,1044
23686,0,0,3.7 ,30,0,20,1196,500.0,5047
